# HYG Database v4.1 subset: -1 <= visual magnitude <= 6.0
# Source: https://github.com/astronexus/HYG-Database
# License: CC BY-SA 4.0; see THIRD_PARTY_HYG.txt
ra_deg,dec_deg,mag,hip,name
14.1771450,60.7167400,2.15,4427,Cih
190.3795650,-48.9598880,2.20,61932,
120.8960550,-40.0031480,2.21,39429,Naos
139.2725700,-59.2752290,2.21,45556,Aspidiske
233.6719200,26.7146930,2.22,76267,Alphecca
136.9990200,-43.4325890,2.23,44816,Suhail
200.9812050,54.9253620,2.23,65378,Mizar
305.5570950,40.2566790,2.23,100453,Sadr
10.1267400,56.5373310,2.24,3179,Schedar
269.1515550,51.4888950,2.24,87833,Eltanin
83.0016750,-0.2990920,2.25,25930,Mintaka
2.2933050,59.1497800,2.28,746,Caph
204.9719400,-53.4663940,2.29,66657,
240.0833550,-22.6217100,2.29,78401,Dschubba
252.5412000,-34.2932320,2.29,82396,Larawag
220.4823450,-47.3882000,2.30,71860,
218.8767900,-42.1578240,2.33,71352,
165.4601550,56.3824270,2.34,53910,Merak
221.2467600,27.0742220,2.35,72105,Izar
326.0464950,9.8750110,2.38,107315,Enif
265.6219800,-39.0299830,2.39,86670,
6.5708400,-42.3059810,2.40,2081,Ankaa
178.4575200,53.6947600,2.41,58001,Phecda
257.5945200,-15.7249100,2.43,84012,Sabik
345.9435150,28.0827890,2.44,113881,Scheat
111.0237600,-29.3031040,2.45,35904,Aludra
319.6444500,62.5855730,2.45,105199,Alderamin
140.5284300,-55.0106680,2.47,45941,Markeb
311.5526700,33.9702560,2.48,102488,Aljanah
346.1902200,15.2052640,2.49,113963,Markab
45.5698800,4.0897340,2.54,14135,Menkar
249.2897400,-10.5670900,2.54,81377,
208.8850050,-47.2883750,2.55,68002,
168.5270700,20.5237170,2.56,54872,Zosma
241.3593000,-19.8054530,2.56,78820,Acrab
83.1825600,-17.8222890,2.58,25985,Arneb
182.0896500,-50.7224250,2.58,59196,
183.9515550,-17.5419290,2.58,59803,Gienah
285.6529800,-29.8801050,2.60,93506,Ascella
229.2517350,-9.3829170,2.61,74785,Zubeneschamali
236.0669700,6.4256270,2.63,77070,Unukalhai
28.6600200,20.8080350,2.64,8903,Sheratan
84.9122550,-34.0741080,2.65,26634,Phact
89.9302650,37.2125850,2.65,28380,Mahasim
188.5968150,-23.3967590,2.65,61359,Kraz
21.4532400,60.2352830,2.66,6686,Ruchbah
208.6711650,18.3977170,2.68,67927,Muphrid
224.6330550,-43.1339600,2.68,73273,
74.2484100,33.1660900,2.69,23015,Hassaleh
161.6923200,-49.4202550,2.69,52727,
189.2960850,-69.1355640,2.69,61585,
262.6909800,-37.2958110,2.70,85696,Lesath
109.2856650,-37.0974700,2.71,35264,
275.2485000,-29.8281030,2.72,89931,Kaus Media
296.5649100,10.6132610,2.72,97278,Tarazed
243.5864100,-3.6943230,2.73,79593,Yed Prior
245.9979000,61.5142130,2.73,80331,Athebyne
160.7392350,-64.3944500,2.74,52419,
190.4151750,-1.4493750,2.74,61941,Porrima
83.8582650,-5.9099010,2.75,26241,Hatysa
200.1494400,-36.7122950,2.75,65109,
222.7196550,-16.0417780,2.75,72622,Zubenelgenubi
265.8681450,4.5673030,2.76,86742,Cebalrai
76.9624350,-5.0864460,2.78,23875,Cursa
247.5550200,21.4896130,2.78,80816,Kornephoros
258.6619050,14.3903330,2.78,84345,Rasalgethi
183.7864050,-58.7489280,2.79,59747,Imai
262.6081950,52.3013870,2.79,85670,Rastaban
233.7852150,-41.1667570,2.80,76297,
82.0613400,-20.7594410,2.81,25606,Nihal
250.3216950,31.6027260,2.81,81693,
6.4187400,-77.2542470,2.82,2021,
248.9706450,-28.2160160,2.82,81266,Paikauhale
276.9926850,-25.4217000,2.82,90496,Kaus Borealis
3.3089700,15.1835960,2.83,1067,Algenib
121.8860550,-24.3043240,2.83,39757,Tureis
238.7862450,-63.4307270,2.83,77952,
58.5330000,31.8836350,2.84,18246,
261.3249750,-55.5298840,2.84,85258,
262.9604250,-49.8761450,2.84,85792,
56.8711500,24.1051370,2.85,17702,Alcyone
113.6524050,31.8905200,2.85,,Castor B
195.5441700,10.9591500,2.85,63608,Vindemiatrix
326.7601650,-16.1272860,2.85,107556,Deneb Algedi
29.6917650,-61.5698590,2.86,9236,
296.2436100,45.1308100,2.86,97165,Fawaris
95.7400950,22.5135860,2.87,30343,Tejat
229.7277150,-68.6795450,2.87,74946,
334.6255650,-60.2595870,2.87,110130,
44.5653450,-40.3046720,2.88,13847,Acamar
287.4409650,-21.0236150,2.88,94141,Albaldah
111.7876800,8.2893150,2.89,36188,Gomeisa
194.0071050,38.3183800,2.89,63125,Cor Caroli
239.7129750,-26.1141050,2.89,78265,Fang
59.4634500,40.0102150,2.90,18532,
245.2971450,-25.5927960,2.90,80112,Alniyat
322.8897300,-5.5711720,2.90,106278,Sadalsuud
46.1991300,53.5064400,2.91,14328,
146.7755400,-65.0720070,2.92,48002,
340.7505600,30.2212450,2.93,112158,Matar
102.4839900,-50.6145600,2.94,32768,
187.4660850,-16.5154320,2.94,60965,Algorab
331.4459850,-0.3198510,2.95,109074,Sadalmelik
59.5073550,-13.5085150,2.97,18543,Zaurak
84.4111950,21.1425490,2.97,26451,Tianguan
146.4628200,23.7742550,2.97,47908,Ras Elased Australis
271.4520450,-30.4240910,2.98,88635,Alnasl
199.7303850,-23.1715120,2.99,64962,
266.8961700,-40.1269970,2.99,87073,
286.3525350,13.8634780,2.99,93747,Okab
32.3858700,34.9872970,3.00,10064,
167.4159300,44.4984870,3.00,54539,
230.1822450,71.8340160,3.00,75097,Pherkad
252.9676350,-38.0473800,3.00,82514,Xamidimura
328.4821200,-37.3648520,3.00,108085,Aldhanab
55.7312400,47.7875510,3.01,17358,
95.0782950,-30.0633670,3.02,30122,Furud
105.7561350,-23.8332910,3.02,33977,
182.5311900,-22.6197660,3.02,59316,
75.4922250,43.8233080,3.03,23416,Almaaz
191.5701900,-68.1081190,3.04,62322,
218.0195400,38.3082530,3.04,71075,Seginus
292.6803450,27.9596810,3.05,95947,Albireo
305.2528050,-14.7813670,3.05,100345,Dabih
100.9830300,25.1311240,3.06,32246,Mebsuta
155.5823250,41.4995160,3.06,50801,Tania Australis
288.1383750,67.6615410,3.07,94376,Altais
274.4068950,-36.7616860,3.10,89642,
133.8484500,5.9455630,3.11,43813,
162.4061850,-16.1936480,3.11,52943,
173.9454450,-63.0198410,3.11,56561,
309.3917400,-47.2915020,3.11,101772,
87.7399350,-35.7683090,3.12,27628,Wazn
134.8024200,48.0418260,3.12,44127,Talitha
254.6550900,-55.9901410,3.12,83081,
258.7579650,24.8392040,3.12,84379,Sarin
224.7903750,-42.1041940,3.13,73334,
140.2638750,34.3925620,3.14,45860,
142.8055650,-57.0343770,3.16,46701,
258.7618200,36.8091620,3.16,84380,
99.4402950,-43.1959340,3.17,31685,
143.2157250,51.6773000,3.17,46853,
257.1967200,65.7146830,3.17,83895,Aldhibah
281.4141000,-26.9907780,3.17,92041,
76.6287000,41.2344740,3.18,23767,Haedus
220.6273800,-64.9751380,3.18,71908,
72.4600350,6.9612760,3.19,22449,Tabit
76.3652700,-22.3710320,3.19,23685,
254.4170850,9.3750330,3.19,83000,
267.4644750,-37.0433040,3.19,87261,Fuyue
318.2341050,30.2269160,3.21,104732,
354.8373000,77.6322760,3.21,116727,Errai
230.3430150,-40.6475180,3.22,75141,
244.5803700,-4.6925110,3.23,79882,Yed Posterior
275.3275050,-2.8988250,3.23,89962,
322.1649300,70.5607160,3.23,106032,Alfirk
102.0479100,-61.9413910,3.24,32607,
302.8261950,-0.8214610,3.24,99473,
112.3076850,-43.3014320,3.25,36377,
211.5928950,-26.6823610,3.25,68895,
226.0175850,-25.2819650,3.25,73714,Brachium
284.7359250,32.6895570,3.25,93194,Sulafat
56.8094250,-74.2389620,3.26,17678,
9.8319300,30.8610240,3.27,3092,
260.5024050,-24.9995450,3.27,84970,
343.6625550,-15.8208200,3.27,113136,Skat
78.2329200,-16.2054680,3.29,24305,
153.4344150,-70.0379030,3.29,50099,
231.2324100,58.9660650,3.29,75458,Edasich
68.4989700,-55.0449750,3.30,21281,
158.0061450,-61.6853320,3.30,51576,
93.7194150,22.5067990,3.31,29655,Propus
261.3485850,-56.3777270,3.31,85267,
16.5211050,-46.7184140,3.32,5165,
46.2940500,38.8402740,3.32,14354,
183.8562900,57.0326170,3.32,59774,Megrez
258.0382800,-43.2391890,3.32,84143,
269.7566250,-9.7736320,3.32,88048,
286.7350500,-27.6704230,3.32,93864,
63.6060600,-62.4738580,3.33,19780,
168.5600250,15.4295700,3.33,54879,Chertan
117.3235650,-24.8597860,3.34,38170,Azmidi
28.5987600,63.6701010,3.35,8886,Segin
81.1192350,-2.3971460,3.35,25281,
101.3223600,12.8955910,3.35,32362,Alzirr
127.5664650,60.7181690,3.35,41704,Muscida
291.3745800,3.1147750,3.36,95501,
230.6703150,-44.6896220,3.37,75264,
131.6938050,6.4188090,3.38,43109,Ashlesha
203.6733000,-0.5958200,3.38,66249,Heze
83.7844950,9.9341580,3.39,26207,Meissa
154.2708000,-61.3323040,3.39,50371,
193.9008750,3.3974700,3.39,63090,Minelauva
332.7136200,58.2012610,3.39,109492,
67.1655750,15.8708830,3.40,20894,Chamukuy
257.5917450,-15.7269210,3.40,,
22.0913850,-43.3182340,3.41,6867,
60.1700700,12.4903470,3.41,18724,
207.3761700,-41.6877090,3.41,67464,
228.0714000,-52.0992470,3.41,74395,
311.3221650,61.8387820,3.41,102422,
340.3654950,10.8313640,3.41,112029,Homam
28.2704400,29.5788290,3.42,8796,Mothallah
240.0305400,-38.3967060,3.42,78384,
266.6147850,27.7206760,3.42,86974,
311.2397100,-66.2032120,3.42,102395,
137.7420600,-58.9668960,3.43,45080,
154.1725650,23.4173110,3.43,50335,Adhafera
286.5622500,-4.8825540,3.43,93805,
154.2742800,42.9143650,3.45,50372,Tania Borealis
12.2739000,57.8151870,3.46,3821,Achird
17.1474600,-10.1822640,3.46,5364,
119.1946950,-52.9823600,3.46,38827,
228.8756400,33.3148330,3.46,74666,
40.8251700,3.2358180,3.47,12706,Kaffaljidhma
207.4041450,-42.4737320,3.47,67472,
151.8331350,16.7626640,3.48,49583,
250.7239950,38.9222540,3.48,81833,
26.0171850,-15.9374800,3.49,8102,
105.4297800,-27.9348300,3.49,33856,Nganurganity
169.6197450,33.0943060,3.49,55219,Alula Borealis
225.4865400,40.3905660,3.49,73555,Nekkar
276.7434150,-45.9684590,3.49,90422,
342.1385850,-51.3168640,3.49,112623,
102.4602450,-32.5084780,3.50,32759,
110.0307450,21.9823200,3.50,35550,Wasat
342.4203000,66.2004080,3.50,112724,
299.6892750,19.4921480,3.51,98337,
342.5007750,24.6015790,3.51,112748,Sadalbari
55.8120900,-9.7633950,3.52,17378,Rana
145.2876450,9.8923080,3.52,47508,Subra
149.2156200,-54.5677900,3.52,48774,
190.4125650,-1.4492350,3.52,,
282.5199750,33.3626670,3.52,92420,Sheliak
284.4325050,-21.1066540,3.52,93085,
332.5499400,6.1978650,3.52,109427,Biham
67.1541450,19.1804310,3.53,20889,Ain
124.1288400,9.1855450,3.53,40526,Tarf
173.2505700,-31.8576250,3.54,56343,
237.4050300,-3.4302080,3.54,77516,
264.3966750,-15.3985570,3.54,86263,
64.4735550,-33.7983480,3.55,20042,
86.7389250,-14.8219500,3.55,27288,
214.8509400,-46.0580930,3.55,69996,
275.2610400,72.7328430,3.55,89937,
302.1773550,-66.1820680,3.55,99240,
4.8569850,-8.8239210,3.56,1562,
34.1273100,-51.5121650,3.56,10602,
169.8352050,-14.7785410,3.56,55282,
253.0839450,-38.0175360,3.56,82545,Pipirima
116.1118950,24.3979930,3.57,37740,
135.9064050,47.1565250,3.57,44471,Alkaphrah
217.9575000,30.3714370,3.57,71053,
230.4516000,-36.2613760,3.57,75177,
109.5232500,16.5403830,3.58,35350,
304.5135600,-12.5448520,3.58,100064,Algedi
24.4980750,48.6282130,3.59,7607,Nembus
79.4016300,-6.8444090,3.59,24674,
86.1158550,-22.4483820,3.59,27072,
177.6738300,1.7647180,3.59,57757,Zavijava
185.3404650,-60.4011470,3.59,60260,Ginan
21.0058500,-8.1832570,3.60,6537,
103.1972400,33.9612540,3.60,33018,
130.0733100,-52.9218870,3.60,42536,
142.6751100,-40.4667690,3.60,46651,
234.2560500,-28.1350790,3.60,76470,
262.7747700,-60.6838480,3.60,85727,
42.4959450,27.2605070,3.61,13209,Bharani
51.2033100,9.0288700,3.61,15900,
152.6470050,-12.3540830,3.61,49841,
195.5663850,-71.5488550,3.61,63613,
266.4333150,-64.7238710,3.61,86929,
22.8708750,15.3458230,3.62,7097,Alpherg
57.2905950,24.0534150,3.62,17847,Atlas
116.3137350,-37.9685840,3.62,37819,
253.6459650,-42.3613130,3.62,82729,
345.4802550,42.3259790,3.62,113726,
176.4021150,-66.7287630,3.63,57363,
309.3872400,14.5950870,3.64,101769,Rotanev
64.9483350,15.6276420,3.65,20205,Prima Hyadum
142.8817950,63.0618610,3.65,46733,
236.5468950,15.4218260,3.65,77233,
271.6578000,-50.0914770,3.65,88714,
337.2079650,-0.0199720,3.65,110960,
231.9572700,29.1057030,3.66,75695,Nusakan
234.6640500,-29.7777540,3.66,76600,
211.0974750,64.3758500,3.67,68756,Thuban
313.7024700,-58.4541550,3.67,103227,
72.8015100,5.6051040,3.68,22549,
130.8980850,-33.1863850,3.68,42828,
296.8469250,18.5342860,3.68,97365,
347.3616450,-21.1724100,3.68,114341,
9.2428200,53.8969090,3.69,2920,Fulu
28.9884600,-51.6088960,3.69,9007,
75.6195150,41.0758370,3.69,23453,Saclateni
146.3117550,-62.5079030,3.69,47854,
176.5127250,47.7794060,3.69,57399,Taiyangshou
325.0227150,-16.6623080,3.69,106985,Nashira
49.8791700,-21.7578640,3.70,15474,
269.4411600,29.2478800,3.70,87933,
349.2914100,3.2822890,3.70,114971,
73.5628950,2.4406720,3.71,22797,
89.1012300,-14.1677000,3.71,28103,
118.0543200,-40.5757860,3.71,38414,
237.7040250,4.4777300,3.71,77622,
271.8374400,9.5638470,3.71,88771,
298.8283050,6.4067630,3.71,98036,Alshain
53.2327200,-9.4582620,3.72,16537,Ran
56.2189050,24.1133390,3.72,17499,Electra
89.8816650,54.2846560,3.72,28358,
316.2327600,43.9278520,3.72,104060,
51.7923000,9.7326800,3.73,16083,
221.5621800,1.8928850,3.73,72220,
268.3820100,56.8726430,3.73,87585,Grumium
325.3687950,-77.3900460,3.73,107089,
343.1536500,-7.5795990,3.73,112961,
27.8651400,-10.3350380,3.74,8645,Baten Kaitos
245.4800700,19.1531300,3.74,80170,
318.6977550,38.0453170,3.74,104887,
136.0387200,-47.0977370,3.75,44511,
266.9731650,2.7072760,3.75,87108,
83.4063150,-62.4898250,3.76,26069,
87.8303550,-20.8790890,3.76,27654,
97.2044550,-7.0330620,3.76,30867,
286.1707500,-21.7414960,3.76,93683,
292.4264700,51.7297790,3.76,95853,
337.8227250,50.2824910,3.76,111169,
42.6741750,55.8954960,3.77,13268,Miram
56.2984800,42.5785490,3.77,17529,
65.7337050,17.5425140,3.77,20455,Secunda Hyadum
84.6865350,-2.6000690,3.77,26549,
126.4342650,-66.1368900,3.77,41312,
130.1565450,-46.6487440,3.77,42570,
252.4464000,-59.0413780,3.77,82363,
309.9095250,15.9120720,3.77,101958,Sualocin
321.6667800,-22.4113320,3.77,105881,
331.7527050,25.3451120,3.77,109176,
107.1868200,-70.4989320,3.78,34481,
111.4316850,27.7980800,3.78,36046,
147.7480050,59.0387350,3.78,48319,
163.3733850,-58.8531710,3.78,53253,
220.2873000,13.7283000,3.78,71795,
311.9189700,-9.4957760,3.78,102618,Albali
47.3738700,44.8575440,3.79,14668,Misam
163.3278900,34.2148710,3.79,53229,Praecipua
48.0187350,-28.9876180,3.80,14879,Dalim
114.7077900,-26.8038360,3.80,37229,
233.7006150,10.5388670,3.80,76276,
289.2756000,53.3684590,3.80,94779,
303.4079400,46.7413290,3.80,99675,
68.8876800,-30.5623410,3.81,21393,Theemin
156.9697350,-58.7394030,3.81,51232,
235.6857150,26.2956370,3.81,76952,
354.3908400,46.4581520,3.81,116584,
30.5117550,2.7637590,3.82,9487,Alrescha
139.7110350,36.8025970,3.82,45688,
172.8511050,69.3310760,3.82,56211,Giausar
247.7284350,1.9839230,3.82,80883,Marfik
264.8662050,46.0063320,3.82,86414,
156.5226300,-16.8362900,3.83,51069,
209.5677900,-42.1007530,3.83,68245,
221.9655150,-79.0447510,3.83,72370,
56.0488950,-64.8069030,3.84,17440,
56.0797200,32.2882480,3.84,17448,Atik
67.1437200,15.9621810,3.84,20885,
133.7618550,-60.6446090,3.84,43783,
158.2027950,9.3065860,3.84,51624,
159.3257550,-48.2256200,3.84,51986,
188.1170100,-72.1329880,3.84,61199,
271.8856200,28.7624880,3.84,88794,
273.4408800,-21.0588340,3.84,89341,Polis
297.0427500,70.2679300,3.84,97433,
63.5004450,-42.2943680,3.85,19747,
86.8211850,-51.0665140,3.85,27321,
95.5284600,-33.4364000,3.85,30277,
153.6841050,-42.1219420,3.85,50191,
188.3708700,69.7882380,3.85,61281,
189.4259100,-48.5413040,3.85,61622,
239.1132300,15.6616170,3.85,78072,
275.9245050,21.7697520,3.85,90139,
278.8017750,-8.2440730,3.85,91117,
14.1882750,38.4993450,3.86,4436,
69.5451000,-14.3040200,3.86,21594,Sceptrum
82.8031350,-35.4705190,3.86,25859,
243.8594550,-63.6856820,3.86,79664,
248.3641350,-78.8971480,3.86,81065,
269.0632500,37.2505390,3.86,87808,
335.4140700,-1.3873310,3.86,110395,Sadachbia
56.4566850,24.3677480,3.87,17573,Maia
131.5068600,-46.0415270,3.87,43023,
209.6698050,-44.8035840,3.87,68282,
220.7650950,-5.6582070,3.87,71957,
239.2211550,-29.2140730,3.87,78104,Iklil
298.1182050,1.0056610,3.87,97804,
2.3525400,-45.7474260,3.88,765,
28.3825500,19.2938520,3.88,8832,Mesarthim
148.1909700,26.0069510,3.88,48455,Rasalas
227.9837700,-48.7378190,3.88,74376,
347.5896000,-45.2467110,3.88,114421,
44.1068700,-8.8981440,3.89,13701,Azha
103.5331350,-24.1842110,3.89,33152,
138.5910750,2.3142800,3.89,45336,
184.9764900,-0.6668030,3.89,60129,Zaniah
299.0765700,35.0834240,3.89,98110,
144.9640050,-1.1428100,3.90,47431,Ukdah
170.2517550,-54.4910190,3.90,55425,
202.7610750,-39.4073070,3.90,65936,
60.7890900,5.9893050,3.91,18907,
126.4151400,-3.9064240,3.91,41307,
187.0099650,-50.2306350,3.91,60823,
226.2795450,-47.0512450,3.91,73807,
233.8815750,-14.7895370,3.91,76333,Zubenelhakrabi
244.9351650,46.3133660,3.91,79992,
255.0724050,30.9264050,3.92,83207,
290.4181650,-17.8471970,3.92,95168,
318.9559650,5.2478450,3.92,104987,Kitalpha
6.5507400,-43.6798290,3.93,2072,
22.8127650,-49.0727020,3.93,7083,
43.5644250,52.7624790,3.93,13531,
69.0797550,-3.3524590,3.93,21444,
115.4550600,-72.6060980,3.93,37504,
167.1474750,-58.9750370,3.93,54463,
241.7017800,-20.6691920,3.93,78933,
270.1613100,2.9315680,3.93,88192,
17.0961300,-55.2457600,3.94,5348,Wurren
115.3118100,-9.5511310,3.94,37447,
115.9519500,-28.9548260,3.94,37677,
131.1712500,18.1543090,3.94,42911,Asellus Australis
314.2933950,41.1671360,3.94,103413,
30.8590200,72.4212940,3.95,9598,
99.1709850,-19.2558790,3.95,31592,
200.9849400,54.9204710,3.95,,
62.1653550,47.7125130,3.96,19343,
89.7866700,-42.8151350,3.96,28328,
135.1602750,41.7829110,3.96,44248,
137.8197750,-62.3169770,3.96,45101,
290.6595450,-44.4589650,3.96,95241,Arkab Prior
290.9715450,-40.6159400,3.96,95347,Rukbat
303.8680050,47.7142080,3.96,99848,
350.7426300,-20.1005800,3.96,115438,
66.0091950,-34.0168460,3.97,20535,Beemim
87.8724900,39.1484800,3.97,27673,
109.2076200,-67.9571520,3.97,35228,
130.0255950,-35.3083520,3.97,42515,
182.9130300,-52.3684600,3.97,59449,
237.7397400,-33.6271650,3.97,77634,
300.1476750,-72.9105040,3.97,98495,
337.3173750,-43.4955650,3.97,110997,
341.6328150,23.5656540,3.97,112440,
59.7412500,35.7910330,3.98,18614,Menkib
323.4952500,45.5918370,3.98,106481,
30.0012600,-21.0778310,3.99,9347,
93.7138800,-6.2747760,3.99,29651,
156.0988800,-74.0316120,3.99,50954,
201.3061950,54.9879580,3.99,65477,Alcor
349.3574700,-58.2357340,3.99,114996,
135.6116550,-66.3960760,4.00,44382,
170.9810400,10.5295090,4.00,55642,
242.9988900,-19.4607080,4.00,79374,Jabbah
25.9151250,50.6887320,4.01,8068,
71.3756250,-3.2546570,4.01,22109,
106.0272150,20.5702970,4.01,34088,Mekbuda
108.7027350,-26.7726670,4.01,35037,
220.4899800,-37.7934980,4.01,71865,
240.4729800,58.5652510,4.01,78527,
244.9603050,-50.1555080,4.01,80000,
280.7589000,-71.4281130,4.01,91792,
307.3488900,30.3685550,4.01,101076,
132.6330600,-27.7098440,4.02,43409,
182.1033750,-24.7288750,4.02,59199,Alchiba
284.9056650,15.0682980,4.02,93244,
285.4201200,-5.7391150,4.02,93429,
34.3285950,33.8471940,4.03,10670,
75.8545500,60.4422450,4.03,23522,
131.6742600,28.7598980,4.03,43103,
193.6485000,-57.1779240,4.03,63003,
271.3636950,2.5000990,4.03,88601,
308.3032050,11.3032630,4.03,101421,Aldulfin
359.8278750,6.8633210,4.03,118268,
62.9664150,-6.8375810,4.04,19587,Beid
176.4648300,6.5293760,4.04,57380,
216.2995050,51.8507440,4.04,70497,
338.8390800,-0.1174980,4.04,111497,
47.2650750,49.6132780,4.05,14632,
124.6305450,-76.9197220,4.05,40702,
131.0998050,-42.6492760,4.05,42884,
170.2841400,6.0293220,4.05,55434,
207.3693450,15.7979050,4.05,67459,
215.1393450,-37.8852950,4.05,70090,
219.4718100,-49.4258280,4.05,71536,
342.3979200,-13.5926320,4.05,112716,
74.0928150,13.5144660,4.06,22957,
113.9806200,26.8957410,4.06,36962,
171.2205300,-17.6840100,4.06,55705,
184.3937550,-67.9607360,4.06,59929,
184.6094700,-64.0030710,4.06,60009,
220.9143600,-35.1736550,4.06,72010,
254.8960350,-53.1604380,4.06,83153,
214.0036200,-6.0005470,4.07,69701,Syrma
227.2109100,-45.2798570,4.07,74117,
229.3787550,-58.8012080,4.07,74824,
337.2927450,58.4151980,4.07,110991,
11.8347150,24.2671780,4.08,3693,
35.4374700,-68.6594180,4.08,11001,
39.8706600,0.3285110,4.08,12387,
45.5979450,-23.6244720,4.08,14146,
103.5475050,-12.0386280,4.08,33160,
143.6110650,-59.2297530,4.08,46974,
164.9436600,-18.2987830,4.08,53740,Alkes
283.8337350,43.9460880,4.08,92862,
316.4867700,-17.2328610,4.08,104139,
320.5216500,19.8045080,4.08,105502,
84.2266200,9.2906730,4.09,26366,
237.1849050,18.1415640,4.09,77450,Gudja
24.1994850,41.4054590,4.10,7513,Titawin
41.0495100,49.2284480,4.10,12777,
117.3095700,-46.3732050,4.10,38164,
277.2075750,-49.0705880,4.10,90568,
287.5073100,-39.3407960,4.10,94160,
40.1667150,-39.8553750,4.11,12486,
105.9395550,-15.6332860,4.11,34045,Muliphein
129.4109850,-42.9890810,4.11,42312,
147.8695500,-14.8466030,4.11,48356,Zhang
158.8674900,-78.6077860,4.11,51839,
176.6284800,-61.1783980,4.11,57439,
234.1800000,-66.3170370,4.11,76440,
287.3680350,-37.9044740,4.11,94114,Meridiana
345.2201550,-52.7541370,4.11,113638,
39.8969850,-68.2669460,4.12,12394,
63.7244250,48.4093310,4.12,19812,
90.5958300,9.6472760,4.12,28614,
181.3022550,8.7329850,4.12,58948,
298.8153900,-41.8682880,4.12,98032,
312.9553800,-26.9191330,4.12,102978,
337.4393250,-43.7492240,4.12,111043,
80.9867850,-7.8080650,4.13,25247,
97.2407850,20.2121330,4.13,30883,
238.4563950,-16.7292930,4.13,77853,
311.5239000,-25.2708980,4.13,102485,
341.5153800,-81.3816150,4.13,112405,
354.9876600,5.6262920,4.13,116771,
52.7182350,12.9366780,4.14,16369,
56.5815600,23.9483580,4.14,17608,Merope
129.4140300,5.7037820,4.14,42313,
181.7203050,-64.6137300,4.14,59072,
233.2324350,31.3591330,4.14,76127,
239.3969100,26.8778800,4.14,78159,
326.1613800,25.6450360,4.14,107354,
